Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(KAN)-2025, 01: Course Introduction & Syllabus, QSoXOqu8Z8E, https://drive.google.com/file/d/1iufEAMsGVxlwGgX_7JNWqP_75IEKZ0xJ/view?usp=drive_link
JYOTISHA(KAN)-2025, 02: Introduction to Vedic Astrology, sLimesWCFNk, none
JYOTISHA(KAN)-2025, 03: Astronomy relavent to Astrology, Ewo5H_rRaQ8, none
JYOTISHA(TEL)-2025, 01: Course Introduction & Syllabus, DzT7dy5N6f4, https://drive.google.com/file/d/1iufEAMsGVxlwGgX_7JNWqP_75IEKZ0xJ/view?usp=drive_link
JYOTISHA(TEL)-2025, 02: Introduction to Vedic Astrology, Pt9YbZzct14, none
JYOTISHA(TEL)-2025, 03: Astronomy relavent to Astrology, 7kTGrYINHiw, none
MANA: SHASTRA(Kannada),MS01: Introduction,KIHKpK9nzNM, none
JYOTISHA(Kannada)-2022,Vedic Astrology-Course Syllabus,bYVTAcBpK_Q, none
JYOTISHA(Kannada)-2022,Class 01: Vedic Astrology - Introduction,-Yi1LBXHNzQ, none
JYOTISHA(Kannada)-2022,How to Watch Offline videos & Course Material Download,5Cd-fYkWReM, none
JYOTISHA(Kannada)-2022,Class 02: Astronomy relevant to Astrology,bLipe9jb1go, none
JYOTISHA(Kannada)-2022,Class 03: Karma Theory,krgYNLpld1s, none
JYOTISHA(Kannada)-2022,Class 04: Strength of Time,W265iX_eyK8, none
JYOTISHA(Kannada)-2022,Class 05: Planets - Sahaja Karakatwas,SAmhG3L_p4k, none
JYOTISHA(Kannada)-2022,Class 06: Lagna & Dwadasha Bhavagalu,k1oARTU03qk, none
JYOTISHA(Kannada)-2022,Class 07: Trikona-Kendra Sthana-Yoga karaka..etc,FxEDKdzQWwA, none
JYOTISHA(Kannada)-2022,Class 08: Planetary Relationship(ಗ್ರಹಗಳು-ಮೈತ್ರಿ),Hwj6qry8Org, none
JYOTISHA(Kannada)-2022,Class 09: How to read a Horoscope in a Systematic Manner,CN0L2j4MOlI, none
JYOTISHA(Kannada)-2022,Class 10: Predictive Principles,LWhBz7WiMuQ, none
JYOTISHA(Kannada)-2022,Class 11: Psychology relevant to Astrology,Jcsa9sVbx_U, none
JYOTISHA(Kannada)-2022,Class 12: Lagna Sthana-Significance,1uxe0yI_EcY, none
JYOTISHA(Kannada)-2022,Class 13: Lagna Sthana-Practice,IpkR6i2M4Fs, none
JYOTISHA(Kannada)-2022,Class 14: Lagna Sthana-Practice(Day-2),yOK_zhUrs4o, none
JYOTISHA(Kannada)-2022,Class 15: Education - Introduction,Uq-jVUsZi6A, none
JYOTISHA(Kannada)-2022,Class 16: Education - Practice Session-1,Fi_RWTyK-5o, none
JYOTISHA(Kannada)-2022,Class 17: Education - Practice Session-2,VNPzXBvSN9k, none
JYOTISHA(Kannada)-2022,Class 18: Education - Questions - Parihaara,WGyqCuVFP14, none
JYOTISHA(Kannada)-2022,Class 19: Higher Education - Questions - Answers,wg8HY4IaUnI, none
JYOTISHA(Kannada)-2022,Class 20: Education - Additional info,9pgKs2gk1Sc, none
JYOTISHA(Kannada)-2022,Class 21: Education - Questions & Answers,1PabfrlwTI0, none
JYOTISHA(Kannada)-2022,Class 22: Vedic Education,TNjMT-2jaLI, none
JYOTISHA(Kannada)-2022,Class 23: Karma Sthana (Introduction),rcyOFqF2iUE, none
JYOTISHA(Kannada)-2022,Class 24: Karma Sthana - Analysing Chart,5g1MdUZaTlY, none
JYOTISHA(Kannada)-2022,Class 25: Understanding Navamsha (D9 Chart),8OqgOVfmt0s, none
JYOTISHA(Kannada)-2022,Class 26: Business & Job,jxfmMVP48Us, none
JYOTISHA(Kannada)-2022,Class 27: Analyzing Business (Practice),jkwewjOQeb8, none
JYOTISHA(Kannada)-2022,Class 28: About Income,loR5K75YJjY, none
JYOTISHA(Kannada)-2022,Class 29: Kalatra Sthaana-Introduction,r_GTl6MSit0, none
JYOTISHA(Kannada)-2022,Class 30: Kalatra Sthaana-Pre-Marital Issues,1xzXu9NJCZg, none
JYOTISHA(Kannada)-2022,Class 31: Analyzing Kalatra Sthaana,aSov3IWKcZM, none
JYOTISHA(Kannada)-2022,Class 32: Practicing Kalatra Sthaana,WRt1v6PoEbo, none
JYOTISHA(Kannada)-2022,Class 33: Practicing Kalatra Sthaana-2,2dTsjL_m00c, none
JYOTISHA(Kannada)-2022,Class 34: Pre-Marital Questions,3zFdazLKE7k, none
JYOTISHA(Kannada)-2022,Class 35: ABOUT KUTUMBHA STHAANA,soZ0_zwmCuY, none
JYOTISHA(Kannada)-2022,Class 36: Kutumbha Sthana - Practical Example,KTnNLhIJUlg, none
JYOTISHA(Kannada)-2022,Class 37: ASHTAKUTA CALCULATION(Part-1),SrPz8pfe7-o, none
JYOTISHA(Kannada)-2022,Class 38: ASHTAKUTA CALCULATION(Part-2),atUAcqZ8Yj0, none
JYOTISHA(Kannada)-2022,Class 39: ASHTAKUTA-PRACTICE,kYt0VtrD9Bc, none
JYOTISHA(Kannada)-2022,Class 40: KUJA DOSHA,8Wwmn5GtlT0, none
JYOTISHA(Kannada)-2022,Class 41: SARPHA DOSHA & PITRU DOSHA,qJdelL2GGAA, none
JYOTISHA(Kannada)-2022,Class 42: KALA-SARPHA DOSHA & MANGALYA DOSHA,URuAjn1oeO4, none
JYOTISHA(Kannada)-2022,Class 43: MARRIAGE MATCHING(Practice-01),6LbvGFsoVD4, none
JYOTISHA(Kannada)-2022,Class 44: MARRIAGE MATCHING(Practice-02),zavOD-KjdxU, none
JYOTISHA(Kannada)-2022,Class 45: MARITAL ISSUES & REMIDIES,DzTzofBtskU, none
JYOTISHA(Kannada)-2022,Class 46: MARITAL QUESTIONS & ANSWERS,pxtw-DlPJAM, none
